id ; screen_name    ; created_at               ; full_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ; date      ; heure; semaine              ; mois   ; annee; Sentiment; Problematique               ; Score; Urgence; Reponse_automatique                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ; Lieu                    ; Reparabilite; Solution                                                                                                                                                                                            ; Type
 35; coupinesandrine; 2024-01-14 19:24:56+00:00; y770_ ENGIEgroup ENGIEpartFR Bienvenue au club. On attend toujours qu'ils nous recontactent...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ; 2024-01-14;    19; 2024-01-08/2024-01-14; 2024-01;  2024; Négatif  ; Service client injoignable  ;  70.0;     6.0; Bonjour @y770_, nous sommes désolés que vous n'ayez pas encore été recontacté. Nous allons faire le nécessaire pour que l'un de nos conseillers vous appelle dans les plus brefs délais. Pouvez-vous nous communiquer vos coordonnées afin que nous puissions vous joindre ?                                                                                                                                                                                                                                                                                                                                                                             ; null                    ;            1; Relancer le client et mettre en place un système de rappel automatique pour les clients non-contactés                                                                                               ; Plainte
 36; FannyLepoivre  ; 2024-01-15 15:54:58+00:00; 48h que nous avons demandé une intervention d'urgence dans notre immeuble ENGIEproFR ENGIEpartFR Engie solutions Engie home services et toujours rien...pourtant l'eau coule en continu depuis 48h et plus personne n'a de chauffage, y compris nos aimés de 90 ans vivants seuls ...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ; 2024-01-15;    15; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Pannes et urgences          ;  95.0;    10.0; Nous sommes sincèrement désolés pour la situation que vous rencontrez.  Le manque de chauffage et la fuite d'eau sont préoccupants, surtout pour vos proches âgés de 90 ans. Nous allons immédiatement contacter nos équipes d'intervention d'urgence afin qu'elles interviennent dans les plus brefs délais.  Pouvez-vous nous communiquer votre numéro de téléphone et votre adresse afin que nous puissions suivre votre dossier ?                                                                                                                                                                                                                    ; l'immeuble concerné     ;            5; Envoyer une équipe d'intervention d'urgence immédiatement pour réparer la fuite d'eau et rétablir le chauffage.                                                                                     ; Plainte
 37; Qesakostan     ; 2024-01-16 08:18:21+00:00; ENGIEpartFR POURQUOI ENGIE envoie plus mes factures par la postenJ'ai PAS VOULU leur Dématerialisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ; 2024-01-16;     8; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  70.0;     6.0; Bonjour, nous sommes désolés que vous rencontriez des difficultés avec la dématérialisation de vos factures. Nous comprenons votre mécontentement. Pourriez-vous nous contacter afin de rétablir l'envoi de vos factures par courrier ? Vous pouvez nous joindre au 09 69 32 00 00.                                                                                                                                                                                                                                                                                                                                                                      ; null                    ;            1; Rétablir l'envoi des factures par courrier postal pour les clients qui le souhaitent.                                                                                                               ; Plainte
 38; masy7723       ; 2024-01-17 06:44:38+00:00; CDCH_et_Moi CDC_Habitat ENGIEgroup Accepteriez vous cela pour votre famille ?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ; 2024-01-17;     6; 2024-01-15/2024-01-21; 2024-01;  2024; Neutre   ; aucune                      ;   0.0;     0.0; Bonjour @CDCH_et_Moi et @CDC_Habitat, merci pour votre message et votre intérêt pour ENGIE. Nous sommes ravis de constater votre engagement pour un avenir énergétique responsable. N'hésitez pas à nous contacter si vous avez d'autres questions.                                                                                                                                                                                                                                                                                                                                                                                                      ; null                    ;            0; Aucune solution nécessaire.                                                                                                                                                                         ; Question
 39; RVL42600       ; 2024-01-17 11:20:30+00:00; " attention Engie rode ds nos quartiers. lt;lt; Engie gt;gt; , ,lt;lt;GDF, je n'ai à vendre. Je vérifie vos contrats. Vous n'avez rien à faire. Juste à tel à Engie pour prendre le DUO gaz elec. gt;gt; à part ça vous n'avez rien à vendre !nEDFofficiel LCP UFCquechoisirnENGIEpartFR"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ; 2024-01-17;    11; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; aucune                      ;   0.0;     0.0; Bonjour, Nous vous remercions pour votre message. Nous sommes ravis de constater votre satisfaction concernant nos offres. N'hésitez pas à nous contacter si vous avez la moindre question.                                                                                                                                                                                                                                                                                                                                                                                                                                                              ; null                    ;            0; Aucune solution nécessaire.                                                                                                                                                                         ; Plainte
 40; eli_____sa     ; 2024-01-17 11:23:05+00:00; Dans un 60m2, avec un seul chauffage qui fonctionne 24h24 et un autre uniquement la nuit. Une tv, un frigo, une machine à laver et une plaque induction. On est d'accord que c'est absolument pas normal d'avoir une facture de 300 balles ???nENGIEpartFR faut me venir en aide                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ; 2024-01-17;    11; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  75.0;     7.0; Bonjour, nous sommes navrés d'apprendre que vous rencontrez un problème avec votre facture. Nous comprenons votre inquiétude face à un montant aussi élevé. Afin de vous apporter notre aide et d'analyser votre situation, pourriez-vous nous contacter directement au 09 69 32 00 35 ? Un conseiller se tient à votre disposition pour étudier votre facture et vous proposer une solution adaptée.                                                                                                                                                                                                                                                    ; null                    ;            0; Vérifier la consommation énergétique du logement et proposer un plan de réduction personnalisé au client.                                                                                           ; Plainte
 41; vince_thouvenin; 2024-01-17 13:45:59+00:00; ENGIEpartSAV deux mois sans eau chaude !!! Même en mettant en demeure votre agence d'Amiens aucune réponse de vos services ! arnaqueengie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ; 2024-01-17;    13; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Pannes et urgences          ;  95.0;    10.0; Nous sommes sincèrement désolés d'apprendre que vous rencontrez un problème d'eau chaude depuis deux mois. Nous comprenons votre frustration et vous prions de nous excuser pour le manque de réponse de notre agence d'Amiens. Afin de résoudre ce problème rapidement, nous vous invitons à contacter notre service client au 09 74 73 54 01. Un technicien se déplacera afin d'effectuer les réparations nécessaires.                                                                                                                                                                                                                                 ; Amiens                  ;            5; Envoyer une équipe de techniciens qualifiés à Amiens pour réparer le système d'eau chaude du client.                                                                                                ; Plainte
 42; lazhonguoren   ; 2024-01-17 14:42:23+00:00; ENGIEgroup bonjour pourquoi jai une option électricité verte sur un contrat de gaz ? nÇa fait 24 mois que vous me facturez 3 en plus sur un contrat de gaz nVolezvous vos clients ?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ; 2024-01-17;    14; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  75.0;     7.0; Bonjour, nous sommes sincèrement désolés pour la situation que vous rencontrez. Nous comprenons votre frustration concernant la facturation de l'option électricité verte sur votre contrat de gaz. Nous allons examiner votre contrat afin d'identifier la cause de ce problème et de vous apporter une solution dans les meilleurs délais. Pour accélérer le processus, pouvez-vous nous contacter au 09 74 73 54 01 afin que l'un de nos conseillers puisse vous aider ? Merci de votre compréhension.                                                                                                                                                ; null                    ;            1; Vérifier le contrat gaz du client et supprimer l'option électricité verte.                                                                                                                          ; Plainte
 43; Patrick_3164   ; 2024-01-19 09:24:28+00:00; ENGIEpartSAV Bonjour ENGIEpartFR ,  votre réponse est inadmissible . nVous m'indiquez juste que vous pensez que le problème est pris en compte et vous nous communiquerez une date d'intervention.   nIl neige en Picardie et ma mère est sans chauffage par votre faute  bougez vous !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ; 2024-01-19;     9; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Pannes et urgences          ;  95.0;    10.0; Bonjour, nous comprenons votre inquiétude et nous vous prions sincèrement de nous excuser pour la situation inconfortable que vous vivez.  Compte tenu de l'urgence et des conditions météorologiques difficiles, nous allons faire le maximum pour intervenir dans les plus brefs délais.  Pouvez-vous nous contacter au 09 74 73 54 01 afin que nous puissions suivre votre dossier plus efficacement et vous donner une date d'intervention précise?                                                                                                                                                                                                  ; Picardie                ;            5; Envoyer une équipe de dépannage en urgence au domicile de la mère de l'utilisateur pour rétablir le chauffage.                                                                                      ; Plainte
 44; VilledieuDamien; 2024-01-20 13:40:48+00:00; LaTribune Tu en penses quoi ENGIEpartFR ? J'ai hâte de voir ma mensualisation baisser après avoir presque doublée cette année                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ; 2024-01-20;    13; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  70.0;     7.0; Bonjour ! Nous comprenons votre inquiétude concernant l'augmentation de votre facture Engie. Nous allons examiner votre situation afin de déterminer la cause de cette hausse et de vous proposer une solution adaptée. Pourriez-vous nous contacter au 09 69 32 03 03 afin que nous puissions vous aider ?                                                                                                                                                                                                                                                                                                                                              ; null                    ;            1; Vérifier le contrat client et les consommations, appliquer un geste commercial si justifié.                                                                                                         ; Plainte
 45; BiduleAnatheme ; 2024-01-21 11:20:05+00:00; Nous sommes le 21 janvier 2024 et ENGIEpartSAV ENGIEpartFR n'a toujours pas traité ni la résiliation ni le remboursement, ni le signalement dgccrf. Un niveau d'incompétence rare.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ; 2024-01-21;    11; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Service client injoignable  ;  85.0;     7.0; Nous vous prions sincèrement de nous excuser pour le retard dans le traitement de votre résiliation, remboursement et signalement DGCCRF. Nous comprenons votre frustration. Afin de résoudre rapidement ce problème, pourriez-vous nous contacter directement au 09 74 73 54 01 ? Un de nos conseillers se chargera personnellement de votre dossier.                                                                                                                                                                                                                                                                                                   ; null                    ;            3; Accélérer le traitement des demandes de résiliation, de remboursement et des signalements DGCCRF et améliorer la communication avec les clients.                                                    ; Plainte
 46; Khodexx        ; 2024-01-21 17:21:23+00:00; ENGIEpartFR vu que le contact semble globalement compliqué, j'en suis réduit à devoir essayer ici. Donc je récapitule  en décembre 2023 je constate une panne sur ma chaudière qui a été installée l'année dernière et que j'ai payée au prix fort. Celleci ne fonctionnait plus.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ; 2024-01-21;    17; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Pannes et urgences          ;  80.0;     8.0; Bonjour, nous sommes sincèrement désolés pour la panne de votre chaudière et les désagréments occasionnés.  Nous comprenons votre frustration concernant la difficulté de nous contacter.  Afin de résoudre ce problème au plus vite, nous vous invitons à contacter notre service technique au 09 74 73 54 01. Un technicien prendra en charge votre demande et interviendra dans les meilleurs délais.                                                                                                                                                                                                                                                 ; null                    ;            5; Envoyer une équipe de techniciens qualifiés pour réparer la chaudière rapidement.                                                                                                                   ; Plainte
 47; ilxipa         ; 2024-01-21 17:30:40+00:00; ENGIEpartSAV bonjour, estce quil est possible de télécharger lhistorique horaire de ses consommations délectricité ? Je nobtiens quun fichier avec les relevés mensuels alors que loption du suivi horaire est activée.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ; 2024-01-21;    17; 2024-01-15/2024-01-21; 2024-01;  2024; Négatif  ; Problèmes avec l’application;  50.0;     3.0; Bonjour ! Nous sommes navrés que vous rencontriez ce problème avec le téléchargement de vos données de consommation.  Pouvez-vous nous contacter directement par téléphone au 09 74 73 54 01 afin que nous puissions vous aider à résoudre ce souci ? Nous vous remercions de votre compréhension.                                                                                                                                                                                                                                                                                                                                                       ; null                    ;            2; Vérifier les paramètres de l’application et proposer un téléchargement alternatif des données de consommation horaire.                                                                              ; Question
 48; Khodexx        ; 2024-01-22 08:55:16+00:00; 60millions ENGIEpartSAV Je ne sais pas non plus si UFCquechoisir peut m'aider mais là de toute façon, j'irai voir mes pires ennemis si j'en avais. J'en ai marre !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ; 2024-01-22;     8; 2024-01-22/2024-01-28; 2024-01;  2024; Négatif  ; aucune                      ;  80.0;     7.0; Nous vous prions de nous excuser pour ce désagrément. Pouvez vous nous contacter afin de trouver une solution ensemble ?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ; null                    ;            0; Proposer un contact direct avec un conseiller dédié pour résoudre le problème.                                                                                                                      ; Plainte
 49; annesoldx      ; 2024-01-22 14:20:26+00:00; ENGIEpartFR ENGIEpartSAV faire une demande dintervention urgente pour une chaudière qui a lâché depuis samedi matin et sentendre dire que les plannings sont pleins par une personne très désagréable au téléphone cest ça votre SAV ? Pour rappel une urgence  immédiat.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ; 2024-01-22;    14; 2024-01-22/2024-01-28; 2024-01;  2024; Négatif  ; Pannes et urgences          ;  90.0;    10.0; Nous sommes sincèrement désolés pour la panne de votre chaudière et pour le désagrément causé par le délai d'intervention et la qualité de l'échange téléphonique. Nous comprenons que cette situation soit urgente. Afin de vous apporter une solution au plus vite, pouvez-vous nous contacter directement au 09 74 73 54 01 afin que nos équipes puissent intervenir dans les meilleurs délais ?                                                                                                                                                                                                                                                      ; null                    ;            5; Privilégier une intervention rapide pour les pannes de chaudière et améliorer la formation des téléconseillers.                                                                                     ; Plainte
 50; chcuny         ; 2024-01-23 18:55:11+00:00; Je pense quil faut vraiment remercier le gouvernement et monsieur BrunoLeMaire pour son doublé sur les nouveaux tarifs délectricité.nnIl a quand même réussi lexploit de faire plus augmenter les tarifs qui sont les plus intéressants pour enedis  les tarifs Tempo et HPHC.nnExploit dautant plus remarquable que le gaz est maintenant moins taxé que lélectricité alors que cest une énergie fossile émettrice de CO2nnUn champion comme ça, il faut absolument le garder GabrielAttal !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ; 2024-01-23;    18; 2024-01-22/2024-01-28; 2024-01;  2024; Négatif  ; aucune                      ;  10.0;     1.0; Nous vous remercions pour votre message et votre appréciation concernant les nouveaux tarifs d'électricité.  Nous restons à votre disposition si vous avez d'autres questions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ; null                    ;            0; Aucune solution nécessaire.                                                                                                                                                                         ; Plainte
 51; cyril77M       ; 2024-01-24 15:05:49+00:00; chcuny BrunoLeMaire enedis Et encore, mon gaz a fait 37, malgré une diminution de ma consommation de 25 et une baisse du coût global par les fournisseurs. Faut que je regarde en détail mon contrat, je comprends pas non plus une tel augmentation ENGIEpartFR !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ; 2024-01-24;    15; 2024-01-22/2024-01-28; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  75.0;     5.0; Bonjour @chcuny, nous comprenons votre interrogation concernant votre facture ENGIE.  Une augmentation de 37% malgré une baisse de consommation est effectivement surprenante.  Pourriez-vous nous contacter via Messenger ou au 09 69 32 38 00 afin que nous puissions examiner votre contrat et identifier la cause de cette augmentation ? Nous nous excusons pour la gêne occasionnée.                                                                                                                                                                                                                                                               ; null                    ;            1; Vérifier le détail du contrat et contacter le client pour identifier et expliquer la cause de l'augmentation de la facture.                                                                         ; Plainte
 52; PaoLaVorny     ; 2024-01-24 22:42:50+00:00; Vous mexpliquez ENGIEpartFR ENGIEpartSAV ? Depuis octobre vous me rajoutez entre 20 et 30 par mois discrètement Mais je vous vois nengie electricite arnaque                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ; 2024-01-24;    22; 2024-01-22/2024-01-28; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  80.0;     7.0; Nous sommes sincèrement désolés d'apprendre que vous rencontrez des problèmes de facturation avec votre contrat Engie. Nous comprenons votre frustration concernant ces augmentations inattendues de 20 à 30€ par mois depuis octobre. Pourriez-vous nous contacter directement au 09 74 73 54 01 afin que nous puissions examiner votre situation et identifier la cause de ce problème ? Notre équipe se tient à votre disposition pour vous apporter l'assistance nécessaire et trouver une solution ensemble. Nous vous remercions de votre compréhension.                                                                                           ; null                    ;            2; Vérifier le détail de la facturation du client, identifier les postes de dépenses supplémentaires et appliquer un avoir si les surcoûts sont injustifiés.                                           ; Plainte
 53; Bennuts77      ; 2024-01-24 23:24:18+00:00; ENGIEpartFR Je passe de 122 à 262par mois, je dois payer 511 de régulation, vous me faites payer une intervention d'un technicien jamais venu et a coté quand je vous contacte pour me dire qu'il y a un soucis personne se déplace? nJ'ai 33m² les kheys pas 230                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ; 2024-01-24;    23; 2024-01-22/2024-01-28; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  75.0;     7.0; Bonjour, nous sommes sincèrement désolés pour les désagréments liés à votre facture. Nous comprenons votre frustration concernant le montant élevé, l'intervention non effectuée et le manque de réponse à vos précédents contacts.  Afin de résoudre ce problème, nous vous invitons à nous contacter au 09 74 73 54 01 afin que nous puissions examiner votre situation en détail et trouver une solution rapidement. Nous restons à votre disposition pour toutes questions. Cordialement,                                                                                                                                                            ; null                    ;            3; Vérifier la facturation, annuler les frais d'intervention non effectuée et contacter le client pour un rendez-vous afin de vérifier la situation sur place                                          ; Plainte
 54; FeeKalome      ; 2024-01-25 09:19:23+00:00; Bonjour ENGIEpartFR , nImpossible de se connecter sur l espace client de votre site. C est normal? J aimerais comprendre l aberration de ma facture.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ; 2024-01-25;     9; 2024-01-22/2024-01-28; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  70.0;     7.0; Bonjour ! Nous sommes navrés que vous rencontriez des difficultés pour vous connecter à votre espace client et que vous ayez des questions concernant votre facture. Afin de vous aider au mieux, pouvez-vous nous contacter au 09 69 32 09 10 afin que l'on puisse vous renseigner et résoudre ce problème ?                                                                                                                                                                                                                                                                                                                                            ; null                    ;            2; Vérifier et corriger la facture, améliorer la sécurité et l'accessibilité de l'espace client.                                                                                                       ; Plainte
 55; toundra69      ; 2024-01-25 10:06:37+00:00; ENGIEpartSAV Bj, j'ai essayé de réglé son radiateur, il n'y a pas de mode d'emploi et j'ai pu enlever quelques prereglages, jai tout mis sur 15, il fait 17 degrés chez elle, je lui ai dit de tenir deux jours pour voir si ça change sa consommation journalière. D'ici lundi je vous contact, thx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ; 2024-01-25;    10; 2024-01-22/2024-01-28; 2024-01;  2024; Neutre   ; aucune                      ;  20.0;     2.0; Bonjour, merci pour votre message ! Nous sommes ravis d'apprendre que vous essayez de régler votre radiateur. Nous espérons que la situation s'améliorera d'ici lundi. N'hésitez pas à nous recontacter si vous rencontrez d'autres problèmes.                                                                                                                                                                                                                                                                                                                                                                                                           ; null                    ;            0; Fournir un mode d'emploi clair et complet pour le réglage des radiateurs.                                                                                                                           ; Question
 56; halimsidi      ; 2024-01-26 07:05:15+00:00; ENGIEpartSAV Bonjour,a quand un service client digne de ce nom?Cela fait maintenant 5 ans que jai un compteur linky et tous les ans je relance vos services car il nest pas communiquant,dénier en date 1223,et tjrs rien.Dites le si vous ne voulez rien faire                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ; 2024-01-26;     7; 2024-01-22/2024-01-28; 2024-01;  2024; Négatif  ; Service client injoignable  ;  75.0;     7.0; Bonjour, nous sommes sincèrement désolés pour la situation que vous rencontrez avec votre compteur Linky. Cela fait 5 ans que vous signalez ce problème et nous comprenons votre frustration.  Afin de résoudre cela au plus vite, nous vous invitons à contacter notre service client dédié au 09 74 73 54 01. Un technicien se chargera de votre demande. Nous ferons le nécessaire pour que votre compteur soit communiquant dans les meilleurs délais.                                                                                                                                                                                               ; null                    ;            3; Envoyer un technicien qualifié pour réparer le compteur Linky.                                                                                                                                      ; Plainte
